PRECINCT,LOCATION,ADDRESS
ST CLAIR 6,Christ Church,"339 Frank Scott Parkway East Fairview Hgts, IL 62208"
ST CLAIR 7,Northwest St Clair Cty Fire Dept,"3407 S Belt West Belleville, IL 62226"
ST CLAIR 8,Wolf Branch Middle School,"410 Huntwood Rd Swansea, IL 62226"
ST CLAIR 9,Abraham Lincoln School (New Gym),"820 Royal Heights Rd Belleville, IL 62223"
ST CLAIR 10,Plumbers And Pipefitters Local #101,"8 Premier Drive Belleville, IL 62220"
ST CLAIR 11,Teamsters Local 50,"1609 N. Illinois St. Swansea, IL 62226"
ST CLAIR 12,Whiteside Middle School,"111 Warrior Way Belleville, IL 62221"
ST CLAIR 13,East Side Fire House,"3111 East B Street Rd Belleville, IL 62221"
ST CLAIR 14,First Church Of The Nazarene,"1901 Lebanon Av Belleville, IL 62221"
ST CLAIR 15,Christ Church,"339 Frank Scott Parkway East Fairview Hgts, IL 62208"
ST CLAIR 16,Whiteside Middle School,"111 Warrior Way Belleville, IL 62221"
ST CLAIR 17,Garden City Church,"704 N Green Mount Rd Shiloh, IL 62221"
ST CLAIR 18,First Church Of The Nazarene,"1901 Lebanon Av Belleville, IL 62221"
ST CLAIR 19,B.A.S.S.C. (Off Green Mount Rd),"2411 Pathways Crossing Belleville, IL 62221"
ST CLAIR 20,Wolf Branch Middle School,"410 Huntwood Rd Swansea, IL 62226"
ST CLAIR 21,Whiteside Middle School,"111 Warrior Way Belleville, IL 62221"
ST CLAIR 22,Whiteside Middle School,"111 Warrior Way Belleville, IL 62221"
ST CLAIR 23,Garden City Church,"704 N Green Mount Rd Shiloh, IL 62221"
ST CLAIR 24,Wolf Branch Middle School,"410 Huntwood Rd. Swansea, IL 62226"
SHILOH VALLEY 1,Village Of Shiloh (Klucker Hall),"14 Park Dr Shiloh, IL 62269"
SHILOH VALLEY 2,Shiloh Valley Township Bldg,"1370 Shiloh Station Rd Belleville, IL 62221"
SHILOH VALLEY 3,Shiloh Valley Senior Ctr Bldg,"6 Park Dr Shiloh, IL 62269"
SHILOH VALLEY 4,Shiloh Valley Township Bldg,"1370 Shiloh Station Rd Belleville, IL 62221"
SHILOH VALLEY 5,Garden City Church,"704 N Green Mount Rd Shiloh, IL 62221"
SMITHTON 1,Smithton Senior Citizens Ctr,"711 S Main St Smithton, IL 62285"
SMITHTON 2,Smithton Senior Citizens Ctr,"711 S Main St Smithton, IL 62285"
SMITHTON 3,Catholic War Vets Post 370,"3535 State Rt 159 Freeburg, IL 62243"
STITES 1,Brooklyn Village Hall,"312 S 5th St Brooklyn, IL 62059"
STOOKEY 1,Quail Club,"8303 Concordia Church Rd. Belleville, IL 62223"
STOOKEY 2,Harmony-Emge School (Gym),"7401 Westchester Dr. Belleville, IL 62223"
STOOKEY 3,Signal Hill Sch (Old Gym),"40 Signal Hill Pl Belleville, IL 62223"
STOOKEY 4,Signal Hill Fire Dept,"329 Hazel Av Belleville, IL 62223"
STOOKEY 5,Belleville West HS (Performing Arts Cntr),"4063 Frank Scott Parkway West Belleville, IL 62223"
STOOKEY 6,Villa Hills Fire Station,"100 Conniston Dr Belleville, IL 62223"
STOOKEY 7,Harmony-Emge School (Gym),"7401 Westchester Dr. Belleville, IL 62223"
SUGAR LOAF 1,Thermo Door Company,"7508 Triple Lakes Rd East Carondelet, IL 62240"
SUGAR LOAF 2,East Carondelet Village Hall,"950 State St East Carondelet, IL 62240"
SUGAR LOAF 3,First Baptist Church of Dupo,"620 Godin Ave. Dupo, IL 62239"
SUGAR LOAF 4,First Baptist Church of Dupo,"620 Godin Ave. Dupo, IL 62239"
SUGAR LOAF 5,First Baptist Church of Dupo,"620 Godin Ave. Dupo, IL 62239"
